ID,generation,forecast_generation
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.5536828,0.430776782
1,0.6380062,0.80972489
1,1.151016,0.912427338
1,1.385367,1.501572281
1,1.8888312,1.398632067
1,1.1299374,1.671372311
1,1.5124048,1.93410464
1,1.8142998,1.835422525
1,1.066156,2.2932858
1,1.215838,2.187678584
1,1.3861792,1.37810184
1,2.280285,1.403786025
1,1.1523904,2.02487908
1,0.5545278,0.589525697
1,0.2544316,1.92311478
1,0.4500564,0.204148371
1,0.410202,1.3576985
1,0.8721776,0.537343983
1,0.5530916,1.06805424
1,0.3500912,0.281563751
1,0.2369408,0.19475648
1,0.1022976,0.101830867
1,0.0459984,0.025602994
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0.369776,0.612770096
2,0.7010808,0.65419818
2,0.8724144,0.743884222
2,1.437912,1.06281504
2,1.386152,1.530711496
2,1.6271904,1.498167761
2,1.7003212,0.9630869
2,1.7729772,1.779541483
2,1.6998696,1.69828464
2,1.7225424,1.698273562
2,1.7534886,0.99831204
2,1.6789322,1.467684704
2,1.586004,1.2407661
2,1.428336,1.56089934
2,1.2364174,1.1389379
2,1.0230532,0.956683316
2,0.797387,0.7925363
2,0.5428836,0.566198837
2,0.3697784,0.42963656
2,0.2187432,0.24715333
2,0.0873334,0.12816888
2,0.0730112,0.072617779
2,0.0459984,0.045368216
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,1.1084,0.841907388
3,1.1295452,1.4167383588
3,1.365024,1.443823456
3,2.032095,1.5427269242
3,2.10441,2.15017341
3,1.9406,2.23935224
3,1.991148,2.11879968
3,2.3819312,2.1436753976
3,2.6261872,2.8237454
3,2.7280638,2.7165238758
3,2.708592,2.3489924
3,2.726999,2.9436488246
3,2.6653614,2.36877324
3,2.515032,2.510980004
3,2.32066,1.54678096
3,2.1348408,2.1331823712
3,1.9097052,1.85235492
3,1.5648548,1.5726686184
3,1.2796196,1.19926822
3,0.9368848,0.8731101516
3,0.532563,0.57886728
3,0.2548888,0.1942866508
3,0.065987,0.0595191378
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
3,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0.637608,0.508785888
4,0.7446176,1.053904331
4,0.65944,0.937014782
4,0.8411648,0.6732059696
4,1.5955944,1.4493156168
4,2.3195346,1.760236527
4,2.463936,1.741532
4,2.5637184,2.6382394944
4,2.66556,1.081938
4,2.7463336,2.7629527408
4,2.7979822,1.5823908
4,2.76921,3.012368919
4,2.7276,2.0879778
4,2.6252288,2.6397363648
4,2.4656632,2.44743552
4,2.3009116,2.3101870004
4,2.042964,1.96392812
4,1.6596224,1.6408621248
4,1.0867328,1.08915032
4,0.7117764,0.70520964
4,0.3697784,0.42459208
4,0.1664704,0.1758067136
4,0.0873334,0.1295367038
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0.8943458,0.826354465
5,1.2574536,1.1909313624
5,1.4908508,1.6397970106
5,0.894823,1.9975554288
5,0.9797148,1.180901304
5,1.7847508,1.1617339288
5,2.6463992,2.68460036
5,2.7468224,2.7910400448
5,2.8905638,2.87704788
5,3.0328012,2.9527661438
5,3.0716892,1.79598132
5,3.073302,3.052276398
5,3.073302,2.5139808
5,2.9722584,2.8877260284
5,2.7261696,2.77721152
5,2.5252702,2.5348219612
5,2.1555792,2.02082752
5,1.721856,1.76042784
5,1.511349,1.5254505
5,1.1729608,1.210678902
5,0.7225128,0.80942376
5,0.292536,0.3915387864
5,0.0730296,0.0590041536
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
5,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0.979387,0.899567503
6,1.2362256,1.1141092944
6,1.5959232,1.3977911424
6,1.9095778,1.7881837862
6,2.1365142,1.994064588
6,2.34124,2.335308024
6,2.4639384,2.13674658
6,2.543271,2.504310012
6,2.6469068,2.54974908
6,2.6867956,2.6343190344
6,2.6668512,2.16567692
6,2.626041,2.6066363826
6,2.544768,2.51417664
6,2.401336,2.333775576
6,2.2181112,2.11323816
6,1.991798,1.9392679212
6,1.7651634,1.45709742
6,1.384772,1.402067374
6,1.043974,1.13755432
6,0.723168,0.678143352
6,0.4506138,0.45140004
6,0.201096,0.2371882176
6,0.0591848,0.070266252
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
6,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0.5749128,0.6865512424
7,0.894306,0.945852174
7,1.278726,1.1933511972
7,1.4269712,1.5114516368
7,1.7117982,1.601112996
7,1.888194,1.9245773316
7,2.012452,1.90837608
7,2.1159,2.081171028
7,2.2376048,2.18606172
7,2.2998136,2.2962918552
7,2.3104968,1.93415046
7,2.3196824,2.3050068076
7,2.27846,2.28757384
7,2.1982772,2.2006832628
7,2.0831352,2.00139192
7,1.7224792,1.8612589944
7,1.70031,1.4914715
7,1.512192,1.547027548
7,1.2576158,1.26236152
7,0.9798424,0.9322648124
7,0.7016848,0.71301732
7,0.41,0.35543556
7,0.0873744,0.070266252
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0.6375726,0.4684033368
8,0.6594054,0.8682144972
8,0.9802936,0.7865085514
8,0.7651936,1.2020077928
8,1.3216536,1.360098077
8,1.6596224,1.4800801792
8,1.68032,1.632176
8,1.784695,1.7444785864
8,1.8466396,1.56560352
8,1.8059184,1.792566952
8,1.7626872,1.93050468
8,1.7220266,1.8350367896
8,1.6805074,1.69073322
8,1.553937,1.536816204
8,1.3860214,1.14776682
8,1.237131,1.497831447
8,1.04475,0.9833784
8,0.808335,0.9025251336
8,0.616824,0.6195918
8,0.430132,0.375230492
8,0.2922808,0.28455312
8,0.14976,0.1393182336
8,0.072979,0.0688608868
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
8,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0.410256,0.373583376
9,0.4706984,0.6057595922
9,0.894,0.579613278
9,1.215415,1.351843655
9,1.36437,1.431918579
9,1.46927,1.64723578
9,1.4694912,1.4703416
9,1.2464384,1.3728778688
9,1.5545312,1.35111552
9,1.511874,1.500029622
9,1.40616,1.4506128
9,1.2145504,1.2259703456
9,1.0441128,0.97129092
9,0.9050848,0.9356544396
9,0.808335,0.76512582
9,0.637608,0.733200096
9,0.4916814,0.57767304
9,0.311688,0.4522092048
9,0.2011296,0.32944608
9,0.1176068,0.1624814452
9,0.0730296,0.10739232
9,0.0591698,0.0460166244
9,0.046025,0.042406646
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
9,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,2.88963,2.55452313
10,3.818,4.01117171
10,4.4822332,4.147046348
10,5.04702,5.2149792178
10,2.9128652,6.0594862796
10,5.244978,2.587615902
10,6.5493988,6.82234904
10,6.712706,6.9988664438
10,6.8929468,6.89000424
10,6.9951102,6.9041589942
10,7.0168576,4.19571712
10,6.8668704,6.6758011984
10,6.609897,5.33827872
10,6.1806772,5.957674276
10,5.569681,5.5244897
10,4.9641416,5.0120473744
10,4.3025348,3.95552792
10,3.111675,3.314929611
10,2.175501,2.6012655
10,1.364748,1.481658717
10,0.8723108,1.02815184
10,0.4815644,0.6499796648
10,0.1497088,0.1893997608
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
10,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0.8090082,0.6248291184
11,1.001127,1.02282352
11,1.1729608,1.2503059912
11,1.4502488,1.3929733896
11,1.617,1.507069872
11,1.4059496,1.4222857352
11,1.364109,1.95236856
11,1.512288,1.609908928
11,1.8049434,1.76188232
11,1.8456596,1.8289105394
11,1.8888736,1.78395968
11,1.8677216,1.933652384
11,1.82512,1.8491784
11,1.742624,1.74892048
11,1.6376184,1.59295608
11,1.480878,1.465158618
11,1.2793088,1.25525568
11,1.0230532,1.018137446
11,0.6375096,0.6501586
11,0.3305936,0.3612820544
11,0.1663488,0.25477632
11,0.1336608,0.1138217184
11,0.0874496,0.0697317376
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
11,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0.5956528,0.697660416
12,0.8080236,0.800663824
12,0.936936,1.122704856
12,1.7624376,1.1182514112
12,2.6455868,2.4413256916
12,3.2549868,3.1877412606
12,3.5171136,10.31427488
12,3.716386,3.706211697
12,3.8796996,9.83104282
12,3.9795504,3.985110066
12,3.96032,11.47759872
12,3.85632,3.9451152
12,3.7964148,11.43114924
12,3.6168678,3.7138218012
12,3.375486,9.9121684
12,2.7063558,2.9914026438
12,2.80815,7.89058458
12,2.175976,2.43109604
12,1.8683184,6.1037782
12,1.4065986,1.2809645054
12,0.9798,2.31000064
12,0.4502868,0.6108095796
12,0.0730112,0.0646837248
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
12,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,4.693259,4.5186697652
13,6.220735,5.72010321
13,7.5669624,7.771476106
13,8.7479756,7.6975563678
13,9.7312574,9.6394981578
13,10.6142194,10.6208378104
13,11.2919064,10.23617832
13,11.651868,11.640166968
13,12.0992974,9.76827454
13,12.1585464,12.2203355274
13,12.0071952,11.37782646
13,11.6254116,12.141297198
13,11.3619,11.31834
13,10.9750878,10.608855123
13,10.110912,9.8370748
13,9.4981656,8.959444494
13,8.422626,7.7890206
13,6.6523674,6.9549107814
13,5.4599454,6.0179886
13,3.5460224,3.3830988608
13,2.311033,2.2419136
13,1.000416,2.0483079918
13,0.2737376,0.3310203272
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
13,0,0
14,0,0
14,0,0
14,0,0
14,0,0
14,0,0
14,0,0
14,0,0
14,0,0
14,0,0
14,0,0
14,0,0
14,0,0
14,0,0
14,3.1534924,3.0511574888
14,4.191792,3.8675854692
14,5.0938302,5.213016227
