BuildingIndex,Year,Month,Day,Hour,Quarter,DemandMean,CIMin,CIMax,CILevel,pmfStartIndx,pmfStep,DemandpmfData1,DemandpmfData2,DemandpmfData3,DemandpmfData4,DemandpmfData5,DemandpmfData6,DemandpmfData7,DemandpmfData8,DemandpmfData9,DemandpmfData10,
1,2019,02,13,00,0,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,00,1,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,00,2,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,00,3,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,01,0,0.000000,0.000000,0.000000,95,0.000000,0.000000,0.533333,0.000000,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.166667,0.266667,
1,2019,02,13,01,1,0.000000,0.000000,0.000000,95,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.066667,0.000000,0.000000,0.100000,0.133333,0.200000,
1,2019,02,13,01,2,0.000000,0.000000,0.000000,95,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.066667,0.000000,0.000000,0.133333,0.133333,0.166667,
1,2019,02,13,01,3,0.000000,0.000000,0.000000,95,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.066667,0.000000,0.033333,0.100000,0.133333,0.166667,
1,2019,02,13,02,0,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,02,1,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,02,2,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,02,3,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,03,0,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,03,1,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,03,2,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,03,3,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,04,0,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,04,1,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,04,2,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,04,3,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,05,0,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,05,1,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,05,2,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,05,3,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,06,0,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,06,1,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,06,2,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,06,3,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,07,0,0.004927,0.000000,0.000000,95,0.000000,0.015000,0.966667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.033333,
1,2019,02,13,07,1,0.022499,0.000000,0.232145,95,0.000000,0.042000,0.933333,0.000000,0.000000,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.033333,
1,2019,02,13,07,2,0.086071,0.000000,0.688744,95,0.000000,0.180000,0.933333,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000,0.033333,
1,2019,02,13,07,3,0.137139,0.000000,0.956682,95,0.000000,0.280000,0.933333,0.000000,0.000000,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000,0.033333,
1,2019,02,13,08,0,2.983667,1.913171,4.221466,95,1.800000,0.280000,0.066667,0.100000,0.166667,0.266667,0.066667,0.100000,0.100000,0.033333,0.066667,0.033333,
1,2019,02,13,08,1,3.600188,2.408179,5.469268,95,2.100000,0.350000,0.066667,0.200000,0.133333,0.066667,0.233333,0.100000,0.000000,0.000000,0.100000,0.100000,
1,2019,02,13,08,2,3.916641,2.377758,6.688029,95,1.500000,0.530000,0.033333,0.100000,0.100000,0.233333,0.233333,0.100000,0.000000,0.066667,0.066667,0.066667,
1,2019,02,13,08,3,4.623452,2.997190,6.990897,95,1.800000,0.640000,0.033333,0.033333,0.233333,0.166667,0.266667,0.066667,0.066667,0.033333,0.066667,0.033333,
1,2019,02,13,09,0,6.668477,4.838205,8.539752,95,4.200000,0.680000,0.066667,0.100000,0.266667,0.233333,0.100000,0.133333,0.066667,0.000000,0.000000,0.033333,
1,2019,02,13,09,1,9.010911,6.433729,13.772598,95,4.800000,1.000000,0.033333,0.033333,0.200000,0.266667,0.133333,0.233333,0.033333,0.000000,0.033333,0.033333,
1,2019,02,13,09,2,9.997516,7.800456,15.469962,95,7.000000,0.860000,0.066667,0.133333,0.266667,0.266667,0.133333,0.066667,0.000000,0.000000,0.000000,0.066667,
1,2019,02,13,09,3,10.891969,9.002020,13.190930,95,8.000000,0.900000,0.033333,0.233333,0.233333,0.266667,0.133333,0.066667,0.000000,0.000000,0.000000,0.033333,
1,2019,02,13,10,0,11.821981,10.085408,13.754852,95,10.000000,0.440000,0.133333,0.133333,0.166667,0.033333,0.100000,0.166667,0.133333,0.066667,0.033333,0.033333,
1,2019,02,13,10,1,12.749594,10.924221,14.922495,95,9.500000,0.550000,0.033333,0.000000,0.066667,0.166667,0.066667,0.133333,0.200000,0.166667,0.066667,0.100000,
1,2019,02,13,10,2,12.855738,9.427679,14.994508,95,9.000000,0.690000,0.066667,0.000000,0.100000,0.033333,0.166667,0.200000,0.100000,0.233333,0.066667,0.033333,
1,2019,02,13,10,3,12.953752,10.457461,14.987791,95,9.500000,0.600000,0.033333,0.033333,0.033333,0.200000,0.066667,0.100000,0.200000,0.133333,0.100000,0.100000,
1,2019,02,13,11,0,13.854655,10.666485,17.513018,95,9.100000,0.860000,0.033333,0.033333,0.033333,0.100000,0.100000,0.366667,0.133333,0.133333,0.000000,0.066667,
1,2019,02,13,11,1,14.631173,12.256030,17.553253,95,11.400000,0.630000,0.033333,0.133333,0.033333,0.100000,0.200000,0.166667,0.133333,0.100000,0.000000,0.100000,
1,2019,02,13,11,2,15.037866,12.346777,17.732990,95,11.400000,0.670000,0.033333,0.066667,0.066667,0.033333,0.200000,0.166667,0.200000,0.100000,0.066667,0.066667,
1,2019,02,13,11,3,14.446984,12.094507,16.772763,95,11.500000,0.600000,0.066667,0.000000,0.100000,0.200000,0.066667,0.300000,0.200000,0.000000,0.033333,0.033333,
1,2019,02,13,12,0,16.085239,12.783132,18.765031,95,12.000000,0.720000,0.033333,0.066667,0.033333,0.100000,0.100000,0.133333,0.333333,0.033333,0.100000,0.066667,
1,2019,02,13,12,1,16.155394,13.551123,18.838694,95,11.200000,0.850000,0.033333,0.000000,0.033333,0.133333,0.100000,0.233333,0.200000,0.166667,0.066667,0.033333,
1,2019,02,13,12,2,15.885669,11.003268,18.964879,95,9.900000,1.100000,0.033333,0.033333,0.033333,0.033333,0.233333,0.233333,0.266667,0.066667,0.033333,0.033333,
1,2019,02,13,12,3,14.984455,11.282560,17.842848,95,10.500000,0.790000,0.066667,0.066667,0.000000,0.033333,0.100000,0.300000,0.133333,0.133333,0.100000,0.066667,
1,2019,02,13,13,0,14.376219,10.453081,16.654111,95,9.100000,0.800000,0.033333,0.033333,0.000000,0.033333,0.100000,0.133333,0.166667,0.233333,0.100000,0.166667,
1,2019,02,13,13,1,14.086944,10.732551,16.827533,95,8.800000,0.860000,0.033333,0.000000,0.066667,0.033333,0.066667,0.200000,0.300000,0.133333,0.100000,0.066667,
1,2019,02,13,13,2,13.632014,9.972341,16.232674,95,6.000000,1.200000,0.033333,0.000000,0.000000,0.033333,0.066667,0.133333,0.400000,0.233333,0.066667,0.033333,
1,2019,02,13,13,3,13.282190,8.806865,16.726401,95,7.000000,1.200000,0.033333,0.033333,0.033333,0.066667,0.333333,0.133333,0.266667,0.033333,0.033333,0.033333,
1,2019,02,13,14,0,12.656073,9.054349,15.664029,95,8.400000,0.780000,0.066667,0.000000,0.066667,0.000000,0.233333,0.266667,0.200000,0.066667,0.000000,0.100000,
1,2019,02,13,14,1,12.325229,9.565966,15.714057,95,7.200000,1.000000,0.033333,0.000000,0.100000,0.066667,0.300000,0.266667,0.133333,0.000000,0.066667,0.033333,
1,2019,02,13,14,2,11.348694,8.677876,14.706759,95,5.600000,1.000000,0.033333,0.000000,0.000000,0.066667,0.166667,0.333333,0.266667,0.033333,0.033333,0.066667,
1,2019,02,13,14,3,10.412000,6.776969,13.189998,95,5.600000,0.800000,0.033333,0.033333,0.066667,0.033333,0.100000,0.233333,0.133333,0.166667,0.100000,0.100000,
1,2019,02,13,15,0,7.438563,5.245740,9.636780,95,4.800000,0.520000,0.066667,0.033333,0.133333,0.100000,0.066667,0.233333,0.166667,0.066667,0.033333,0.100000,
1,2019,02,13,15,1,6.628452,3.516077,8.593560,95,3.000000,1.300000,0.133333,0.100000,0.300000,0.333333,0.100000,0.000000,0.000000,0.000000,0.000000,0.033333,
1,2019,02,13,15,2,5.356105,3.094028,7.568537,95,2.000000,1.200000,0.100000,0.133333,0.400000,0.266667,0.066667,0.000000,0.000000,0.000000,0.000000,0.033333,
1,2019,02,13,15,3,4.279043,2.077934,6.682737,95,1.000000,1.100000,0.066667,0.133333,0.400000,0.233333,0.100000,0.033333,0.000000,0.000000,0.000000,0.033333,
1,2019,02,13,16,0,3.225190,0.994324,5.189771,95,0.700000,0.780000,0.100000,0.200000,0.200000,0.200000,0.133333,0.133333,0.000000,0.000000,0.000000,0.033333,
1,2019,02,13,16,1,2.276807,0.061728,4.754116,95,0.000000,0.660000,0.100000,0.100000,0.233333,0.266667,0.166667,0.066667,0.000000,0.033333,0.000000,0.033333,
1,2019,02,13,16,2,2.115484,0.238348,4.504675,95,0.000000,0.530000,0.066667,0.133333,0.200000,0.133333,0.200000,0.066667,0.100000,0.033333,0.033333,0.033333,
1,2019,02,13,16,3,1.815466,0.260309,3.141327,95,0.000000,0.420000,0.100000,0.066667,0.066667,0.200000,0.166667,0.200000,0.100000,0.066667,0.000000,0.033333,
1,2019,02,13,17,0,0.792472,0.000000,1.944836,95,0.000000,0.210000,0.200000,0.200000,0.100000,0.033333,0.166667,0.033333,0.066667,0.066667,0.066667,0.066667,
1,2019,02,13,17,1,0.936819,0.000000,1.633995,95,0.000000,0.200000,0.100000,0.066667,0.066667,0.200000,0.033333,0.200000,0.100000,0.166667,0.033333,0.033333,
1,2019,02,13,17,2,1.032802,0.281745,1.754884,95,0.000000,0.200000,0.033333,0.033333,0.000000,0.100000,0.166667,0.466667,0.133333,0.000000,0.033333,0.033333,
1,2019,02,13,17,3,0.832058,0.563214,1.581511,95,0.300000,0.190000,0.033333,0.100000,0.700000,0.100000,0.000000,0.000000,0.033333,0.000000,0.000000,0.033333,
1,2019,02,13,18,0,1.036230,0.758948,1.233941,95,0.720000,0.052000,0.066667,0.033333,0.000000,0.033333,0.000000,0.366667,0.100000,0.200000,0.133333,0.066667,
1,2019,02,13,18,1,0.624705,0.479757,0.782266,95,0.450000,0.034000,0.066667,0.033333,0.000000,0.033333,0.366667,0.066667,0.233333,0.133333,0.000000,0.066667,
1,2019,02,13,18,2,0.460598,0.350035,0.566618,95,0.320000,0.025000,0.033333,0.066667,0.000000,0.000000,0.400000,0.000000,0.166667,0.166667,0.100000,0.066667,
1,2019,02,13,18,3,0.257183,0.191112,0.319475,95,0.180000,0.014000,0.066667,0.033333,0.000000,0.400000,0.000000,0.033333,0.133333,0.166667,0.100000,0.066667,
1,2019,02,13,19,0,0.060671,0.040295,0.083038,95,0.040000,0.006000,0.366667,0.000000,0.133333,0.033333,0.100000,0.066667,0.133333,0.133333,0.000000,0.033333,
1,2019,02,13,19,1,0.002517,0.000000,0.009966,95,0.000000,0.001500,0.633333,0.000000,0.100000,0.100000,0.066667,0.000000,0.066667,0.000000,0.000000,0.033333,
1,2019,02,13,19,2,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,19,3,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,20,0,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,20,1,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
1,2019,02,13,20,2,0.000000,0.000000,0.000000,95,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,
